sample_id;E-301 Температура;90-100;100-110;60-70;110-120;пропан;н-бутан;140-150;и-бутан;и-пентан;н-пентан;Метан+этан из жидкости в Е-301;K-301 Темп-ра в хол. зоне;40-50;50-60;K-301 Температура верха
ПРОБА 66;77.582370103424;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;9.74;1.89;1.97446633364111;0.857;5.89;5.71;0.0699971469065243;143.063425301589;0.348863075347693;0.128034046501748;91.5763809423436
ПРОБА 67;77.8286771862757;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;8.74;0.89;1.97446633364111;0.857;6.89;6.71;0.0699301118164918;142.966537475823;0.348863075347693;0.128034046501748;91.647256024383
ПРОБА 68;78.6549347579203;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;7.74;4.89;1.97446633364111;3.857;3.89;3.71;0.0700973577433712;143.136476732812;0.348863075347693;0.128034046501748;91.9672443503605
ПРОБА 69;80.692132615246;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;8.74;2.89;1.97446633364111;3.857;3.89;3.71;0.0698216122758367;143.001881740159;0.348863075347693;0.128034046501748;93.1306073092946
ПРОБА 70;102.362144620066;2.88222490456545;5.87;3.59503321466534;2.83;0.0;4.89;1.97446633364111;3.857;2.89;2.71;0.0518151290465458;68.2177703673963;5.43;7.13;121.339825719555
ПРОБА 71;54.7462890973391;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;4.74;0.0;1.97446633364111;0.0;0.0;0.0;0.0701394151086375;143.003316411357;0.348863075347693;0.128034046501748;84.8420148923803
ПРОБА 72;59.698575217801;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;4.74;0.0;1.97446633364111;0.0;0.0;0.0;0.070147068539529;142.999056987676;0.348863075347693;0.128034046501748;86.4959217253413
ПРОБА 73;64.2873085475644;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;4.74;0.0;1.97446633364111;0.0;0.0;0.0;0.0701266567677478;142.999930475706;0.348863075347693;0.128034046501748;88.026869759237
ПРОБА 74;68.6337911446585;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;4.74;0.0;1.97446633364111;0.0;0.0;0.0;0.0698399594677896;142.999892719376;0.348863075347693;0.128034046501748;89.5775844513092
ПРОБА 75;72.2005749656745;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;4.74;0.0;1.97446633364111;0.0;0.0;0.0;0.0698739505099013;142.998624717646;0.348863075347693;0.128034046501748;90.9310595844705
ПРОБА 76;75.3124583169246;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;4.74;0.0;1.97446633364111;0.0;0.0;0.0;0.0698447134148887;142.998703644658;0.348863075347693;0.128034046501748;92.2139841221922
ПРОБА 77;77.6247391093145;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;4.74;0.0;1.97446633364111;0.0;0.0;0.0;0.0700820035790865;143.001006367311;0.348863075347693;0.128034046501748;93.5630266021884
ПРОБА 78;74.0507653863777;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;4.74;0.0;1.97446633364111;0.0;0.0;0.0;0.0907700431447633;143.066923746186;0.348863075347693;0.128034046501748;30.0778287377474
ПРОБА 79;79.315965878102;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;4.74;0.0;1.97446633364111;0.0;0.0;0.0;0.0758660882212817;140.411271625927;0.348863075347693;0.128034046501748;7.09790124280528
ПРОБА 81;79.4525212467793;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;4.74;0.0;1.97446633364111;0.0;0.0;0.0;0.0796135041543031;142.976769746861;0.348863075347693;0.128034046501748;84.0028769797346
ПРОБА 82;90.9211928626274;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;10.0;0.0;1.97446633364111;20.0;0.0;0.0;0.0719676540513606;142.935663414745;0.35;0.128034046501748;97.6219700962422
ПРОБА 83;90.2833752835326;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;11.0;0.0;1.97446633364111;19.0;0.0;0.0;0.0693282187810231;144.494063884529;0.348863075347693;0.128034046501748;96.2718069872161
ПРОБА 84;86.4488050661017;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;12.0;0.0;1.97446633364111;18.0;0.0;0.0;0.0731336989651607;142.839186801806;0.348863075347693;0.128034046501748;108.582977134423
ПРОБА 85;88.2839052392625;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;13.0;0.0;1.97446633364111;17.0;0.0;0.0;0.0700062334314723;142.970442975327;0.348863075347693;0.128034046501748;95.6650294619665
