sample_id;Давление в E-301;Масса КГД из куба колонны;Вывод балансового избытка;520-540;K-301 Темп-ра в гор. зоне;Метан+этан из жидкости в Е-301;60-70;50-60;н-пентан;40-50
ПРОБА 25;1.66764551317595;196.229083190462;0.0999902800149998;0.0599838330012333;178.997698695498;0.0701814175111332;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 26;1.64767817853167;195.858179878811;0.0999358035338443;0.0599838330012333;178.979462163853;0.0701247488835423;3.59503321466534;0.128034046501748;2.61;0.348863075347693
ПРОБА 27;1.65700488116698;196.448366720255;0.100040959249191;0.0599838330012333;179.003339987115;0.0699125731307594;3.59503321466534;0.128034046501748;3.61;0.348863075347693
ПРОБА 28;1.67001385323357;195.370001507736;0.100049848003807;0.0599838330012333;178.996364363176;0.0698500666334936;3.59503321466534;0.128034046501748;2.61;0.348863075347693
ПРОБА 29;1.67649055617512;197.288126184782;0.100017269712923;0.0599838330012333;179.004011989131;0.0699556638051183;3.59503321466534;0.128034046501748;2.81;0.348863075347693
ПРОБА 30;1.608;195.721658766505;0.0999264290167956;0.0599838330012333;178.989708086885;0.0701422758215579;3.59503321466534;0.128034046501748;3.71;0.348863075347693
ПРОБА 31;1.65617635105837;196.211090586624;0.100056759625909;0.0599838330012333;179.005837472358;0.0698819495363762;3.59503321466534;0.128034046501748;2.71;0.4
ПРОБА 32;1.65495954750801;196.136721723232;0.100001968991764;0.0599838330012333;179.009625367119;0.0700192563338955;3.79503321466534;0.828034046501748;1.71;0.65
ПРОБА 33;1.70676311993214;195.834150403527;0.100058782312285;0.0599838330012333;178.843719983365;0.0698878544861388;3.59503321466534;0.128034046501748;5.71;0.348863075347693
ПРОБА 34;1.71511197878196;196.713241545918;0.10009616038263;0.0599838330012333;178.728729377473;0.0699458607193008;3.59503321466534;0.128034046501748;3.71;0.348863075347693
ПРОБА 35;1.62615574921565;195.263859419526;0.0999650983915419;0.0599838330012333;178.994202715389;0.0700663646537883;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 36;1.54477829212801;194.974135580495;0.0999221884035612;0.0599838330012333;178.985853424337;0.0701474323607001;3.59503321466534;0.128034046501748;2.91;0.348863075347693
ПРОБА 37;2.50730843247103;192.477274622281;0.100083401804639;0.0599838330012333;179.062757838987;0.069843520339178;3.59503321466534;0.128034046501748;2.91;0.348863075347693
ПРОБА 38;1.64723388757027;195.84320545398;0.0999560546748299;0.0599838330012333;179.01087000604;0.0701000380469715;3.5;0.128034046501748;2.71;0.45
ПРОБА 39;1.64628116514457;195.743497063643;0.0999938795697035;0.0599838330012333;178.998109979633;0.0700353466082114;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 40;1.66292225358683;196.67121549256;0.100053150441803;0.0599838330012333;178.984651903199;0.0698599725477079;3.59503321466534;0.128034046501748;2.71;0.548863075347693
ПРОБА 41;1.53581428884818;193.44983335923;0.0999763407439266;0.0599838330012333;178.991090289266;0.0700542577286032;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 42;1.56541049380179;194.64851559556;0.099929933608264;0.0599838330012333;179.000177705703;0.0701485327396043;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 43;1.56543621624886;194.649344851004;0.0999288415268627;0.0599838330012333;178.996968277791;0.0701537557056181;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 44;1.75304035284325;197.10204510543;0.100032462486295;0.0599838330012333;179.001889219221;0.0699257682429429;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 45;1.89438696229444;198.341718805994;0.100053138918963;0.0599838330012333;179.003466316686;0.0698770912574058;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 46;2.08446276401419;199.552935006742;0.100051490225536;0.0599838330012333;179.002099967189;0.0698921754339456;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 47;2.37151650979643;200.895809503057;0.100050616180315;0.0599838330012333;179.000215395058;0.0698654332002576;3.59503321466534;0.128034046501748;2.71;0.348863075347693
